OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Quantity,Price,LineTotal
10248,1996-07-04,90,Wilman Kala,11,Queso Cabrales,12,21,252
10248,1996-07-04,90,Wilman Kala,42,Singaporean Hokkien Fried Mee,10,14,140
10248,1996-07-04,90,Wilman Kala,72,Mozzarella di Giovanni,5,34.8,174.0
10249,1996-07-05,81,Tradição Hipermercados,14,Tofu,9,23.25,209.25
10249,1996-07-05,81,Tradição Hipermercados,51,Manjimup Dried Apples,40,53,2120
10250,1996-07-08,34,Hanari Carnes,41,Jack's New England Clam Chowder,10,9.65,96.5
10250,1996-07-08,34,Hanari Carnes,51,Manjimup Dried Apples,35,53,1855
10250,1996-07-08,34,Hanari Carnes,65,Louisiana Fiery Hot Pepper Sauce,15,21.05,315.75
10251,1996-07-08,84,Victuailles en stock,22,Gustaf's Knäckebröd,6,21,126
10251,1996-07-08,84,Victuailles en stock,57,Ravioli Angelo,15,19.5,292.5
10251,1996-07-08,84,Victuailles en stock,65,Louisiana Fiery Hot Pepper Sauce,20,21.05,421.0
10252,1996-07-09,76,Suprêmes délices,20,Sir Rodney's Marmalade,40,81,3240
10252,1996-07-09,76,Suprêmes délices,33,Geitost,25,2.5,62.5
10252,1996-07-09,76,Suprêmes délices,60,Camembert Pierrot,40,34,1360
10253,1996-07-10,34,Hanari Carnes,31,Gorgonzola Telino,20,12.5,250.0
10253,1996-07-10,34,Hanari Carnes,39,Chartreuse verte,42,18,756
10253,1996-07-10,34,Hanari Carnes,49,Maxilaku,40,20,800
10254,1996-07-11,14,Chop-suey Chinese,24,Guaraná Fantástica,15,4.5,67.5
10254,1996-07-11,14,Chop-suey Chinese,55,Pâté chinois,21,24,504
10254,1996-07-11,14,Chop-suey Chinese,74,Longlife Tofu,21,10,210
10255,1996-07-12,68,Richter Supermarkt,2,Chang,20,19,380
10255,1996-07-12,68,Richter Supermarkt,16,Pavlova,35,17.45,610.75
10255,1996-07-12,68,Richter Supermarkt,36,Inlagd Sill,25,19,475
10255,1996-07-12,68,Richter Supermarkt,59,Raclette Courdavault,30,55,1650
10256,1996-07-15,88,Wellington Importadora,53,Perth Pasties,15,32.8,492.0
10256,1996-07-15,88,Wellington Importadora,77,Original Frankfurter grüne Soße,12,13,156
10257,1996-07-16,35,HILARIÓN-Abastos,27,Schoggi Schokolade,25,43.9,1097.5
10257,1996-07-16,35,HILARIÓN-Abastos,39,Chartreuse verte,6,18,108
10257,1996-07-16,35,HILARIÓN-Abastos,77,Original Frankfurter grüne Soße,15,13,195
